Seguro,numpoliza,nacionalidad,cedula,nombres,apellidos,direccion,celular,email,tipo,marca,modelo,color,anio,placa,serialcarroceria,desdevigencia,hastavigencia,estadocobertura
Universal de Seguros,54645,V,18020594,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141850,prueba@gmail.com,Carro,FORD,KA,Blanco,2006,AC137SK,45556666,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112224,V,18020595,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141851,prueba@gmail.com,Carro,FORD,KA,Blanco,2007,AC137SK,45556667,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112225,V,18020596,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141852,prueba@gmail.com,Carro,FORD,KA,Blanco,2008,AC137SK,45556668,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112226,V,18020597,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141853,prueba@gmail.com,Carro,FORD,KA,Blanco,2009,AC137SK,45556669,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112227,V,18020598,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141854,prueba@gmail.com,Carro,FORD,KA,Blanco,2010,AC137SK,45556670,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112228,V,18020599,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141855,prueba@gmail.com,Carro,FORD,KA,Blanco,2011,AC137SK,45556671,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112229,V,18020600,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141856,prueba@gmail.com,Carro,FORD,KA,Blanco,2012,AC137SK,45556672,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112230,V,18020601,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141857,prueba@gmail.com,Carro,FORD,KA,Blanco,2013,AC137SK,45556673,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112231,V,18020602,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141858,prueba@gmail.com,Carro,FORD,KA,Blanco,2014,AC137SK,45556674,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112232,V,18020603,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141859,prueba@gmail.com,Carro,FORD,KA,Blanco,2015,AC137SK,45556675,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112233,V,18020604,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141860,prueba@gmail.com,Carro,FORD,KA,Blanco,2016,AC137SK,45556676,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112234,V,18020605,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141861,prueba@gmail.com,Carro,FORD,KA,Blanco,2017,AC137SK,45556677,2016-08-30,2017-08-30,Distrito Capital
Universal de Seguros,112235,V,18020606,MARCOS,DE ANDRADE,GAHSGJAHGS ASHGAGSHAGS ,4268141862,prueba@gmail.com,Carro,FORD,KA,Blanco,2018,AC137SK,45556678,2016-08-30,2017-08-30,Distrito Capital
